Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
8,Lab2_Timing_1,AfallTime,0,,,
8,Lab2_Timing_1,AriseTime,0,,,
8,Lab2_Timing_1,AY_cellFall,30.02e-12,,,
8,Lab2_Timing_1,AY_cellRise,13.15e-12,,,
8,Lab2_Timing_1,AY_fallTransistion,46.2e-12,,,
8,Lab2_Timing_1,AY_riseTransistion,19.94e-12,,,
8,Lab2_Timing_1,BfallTime,0,,,
8,Lab2_Timing_1,BriseTime,0,,,
8,Lab2_Timing_1,BY_cellFall,33.01e-12,,,
8,Lab2_Timing_1,BY_cellRise,14.27e-12,,,
8,Lab2_Timing_1,BY_fallTransistion,46.2e-12,,,
8,Lab2_Timing_1,BY_riseTransistion,19.94e-12,,,
"Parameters: Cout=644.4a, transition=40p",,,,,,
9,Lab2_Timing_1,/A,,,,
9,Lab2_Timing_1,/B,,,,
9,Lab2_Timing_1,/Y,,,,
9,Lab2_Timing_1,AfallTime,0,,,
9,Lab2_Timing_1,AriseTime,0,,,
9,Lab2_Timing_1,AY_cellFall,30.37e-12,,,
9,Lab2_Timing_1,AY_cellRise,13.71e-12,,,
9,Lab2_Timing_1,AY_fallTransistion,46.1e-12,,,
9,Lab2_Timing_1,AY_riseTransistion,20e-12,,,
9,Lab2_Timing_1,BfallTime,0,,,
9,Lab2_Timing_1,BriseTime,0,,,
9,Lab2_Timing_1,BY_cellFall,33.4e-12,,,
9,Lab2_Timing_1,BY_cellRise,14.9e-12,,,
9,Lab2_Timing_1,BY_fallTransistion,46.1e-12,,,
9,Lab2_Timing_1,BY_riseTransistion,20e-12,,,
"Parameters: Cout=644.4a, transition=60p",,,,,,
10,Lab2_Timing_1,/A,,,,
10,Lab2_Timing_1,/B,,,,
10,Lab2_Timing_1,/Y,,,,
10,Lab2_Timing_1,AfallTime,0,,,
10,Lab2_Timing_1,AriseTime,0,,,
10,Lab2_Timing_1,AY_cellFall,31.03e-12,,,
10,Lab2_Timing_1,AY_cellRise,14.82e-12,,,
10,Lab2_Timing_1,AY_fallTransistion,46.24e-12,,,
10,Lab2_Timing_1,AY_riseTransistion,20.13e-12,,,
10,Lab2_Timing_1,BfallTime,0,,,
10,Lab2_Timing_1,BriseTime,0,,,
10,Lab2_Timing_1,BY_cellFall,34.15e-12,,,
10,Lab2_Timing_1,BY_cellRise,15.95e-12,,,
10,Lab2_Timing_1,BY_fallTransistion,46.24e-12,,,
10,Lab2_Timing_1,BY_riseTransistion,20.13e-12,,,
