Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
31,Lab2_Timing_1,BY_fallTransistion,117.7e-12,,,
31,Lab2_Timing_1,BY_riseTransistion,47.88e-12,,,
"Parameters: Cout=2.278f, transition=80p",,,,,,
32,Lab2_Timing_1,/A,,,,
32,Lab2_Timing_1,/B,,,,
32,Lab2_Timing_1,/Y,,,,
32,Lab2_Timing_1,AfallTime,0,,,
32,Lab2_Timing_1,AriseTime,0,,,
32,Lab2_Timing_1,AY_cellFall,69.64e-12,,,
32,Lab2_Timing_1,AY_cellRise,29.83e-12,,,
32,Lab2_Timing_1,AY_fallTransistion,118.9e-12,,,
32,Lab2_Timing_1,AY_riseTransistion,48.36e-12,,,
32,Lab2_Timing_1,BfallTime,0,,,
32,Lab2_Timing_1,BriseTime,0,,,
32,Lab2_Timing_1,BY_cellFall,72.73e-12,,,
32,Lab2_Timing_1,BY_cellRise,31.1e-12,,,
32,Lab2_Timing_1,BY_fallTransistion,118.9e-12,,,
32,Lab2_Timing_1,BY_riseTransistion,48.36e-12,,,
"Parameters: Cout=2.278f, transition=100p",,,,,,
33,Lab2_Timing_1,/A,,,,
33,Lab2_Timing_1,/B,,,,
33,Lab2_Timing_1,/Y,,,,
33,Lab2_Timing_1,AfallTime,0,,,
33,Lab2_Timing_1,AriseTime,0,,,
33,Lab2_Timing_1,AY_cellFall,70.09e-12,,,
33,Lab2_Timing_1,AY_cellRise,30.85e-12,,,
33,Lab2_Timing_1,AY_fallTransistion,118.8e-12,,,
33,Lab2_Timing_1,AY_riseTransistion,48.52e-12,,,
33,Lab2_Timing_1,BfallTime,0,,,
33,Lab2_Timing_1,BriseTime,0,,,
33,Lab2_Timing_1,BY_cellFall,73.57e-12,,,
33,Lab2_Timing_1,BY_cellRise,32e-12,,,
33,Lab2_Timing_1,BY_fallTransistion,118.8e-12,,,
33,Lab2_Timing_1,BY_riseTransistion,48.52e-12,,,
"Parameters: Cout=2.278f, transition=120p",,,,,,
34,Lab2_Timing_1,/A,,,,
34,Lab2_Timing_1,/B,,,,
34,Lab2_Timing_1,/Y,,,,
34,Lab2_Timing_1,AfallTime,0,,,
34,Lab2_Timing_1,AriseTime,0,,,
34,Lab2_Timing_1,AY_cellFall,70.94e-12,,,
34,Lab2_Timing_1,AY_cellRise,31.56e-12,,,
34,Lab2_Timing_1,AY_fallTransistion,117.5e-12,,,
34,Lab2_Timing_1,AY_riseTransistion,48.57e-12,,,
34,Lab2_Timing_1,BfallTime,0,,,
34,Lab2_Timing_1,BriseTime,0,,,
34,Lab2_Timing_1,BY_cellFall,73.94e-12,,,
34,Lab2_Timing_1,BY_cellRise,32.89e-12,,,
34,Lab2_Timing_1,BY_fallTransistion,117.5e-12,,,
34,Lab2_Timing_1,BY_riseTransistion,48.57e-12,,,
"Parameters: Cout=2.278f, transition=140p",,,,,,
35,Lab2_Timing_1,/A,,,,
35,Lab2_Timing_1,/B,,,,
35,Lab2_Timing_1,/Y,,,,
35,Lab2_Timing_1,AfallTime,0,,,
35,Lab2_Timing_1,AriseTime,0,,,
35,Lab2_Timing_1,AY_cellFall,71.38e-12,,,
35,Lab2_Timing_1,AY_cellRise,32.46e-12,,,
35,Lab2_Timing_1,AY_fallTransistion,118.5e-12,,,
35,Lab2_Timing_1,AY_riseTransistion,48.58e-12,,,
35,Lab2_Timing_1,BfallTime,0,,,
35,Lab2_Timing_1,BriseTime,0,,,
35,Lab2_Timing_1,BY_cellFall,74.44e-12,,,
35,Lab2_Timing_1,BY_cellRise,33.84e-12,,,
35,Lab2_Timing_1,BY_fallTransistion,118.5e-12,,,
35,Lab2_Timing_1,BY_riseTransistion,48.58e-12,,,
"Parameters: Cout=2.822f, transition=20p",,,,,,
36,Lab2_Timing_1,/A,,,,
36,Lab2_Timing_1,/B,,,,
36,Lab2_Timing_1,/Y,,,,
36,Lab2_Timing_1,AfallTime,0,,,
36,Lab2_Timing_1,AriseTime,0,,,
36,Lab2_Timing_1,AY_cellFall,80.21e-12,,,
36,Lab2_Timing_1,AY_cellRise,31.77e-12,,,
36,Lab2_Timing_1,AY_fallTransistion,141.5e-12,,,
36,Lab2_Timing_1,AY_riseTransistion,57.42e-12,,,
36,Lab2_Timing_1,BfallTime,0,,,
36,Lab2_Timing_1,BriseTime,0,,,
36,Lab2_Timing_1,BY_cellFall,82.83e-12,,,
36,Lab2_Timing_1,BY_cellRise,33.04e-12,,,
36,Lab2_Timing_1,BY_fallTransistion,141.5e-12,,,
36,Lab2_Timing_1,BY_riseTransistion,57.42e-12,,,
"Parameters: Cout=2.822f, transition=40p",,,,,,
37,Lab2_Timing_1,/A,,,,
37,Lab2_Timing_1,/B,,,,
37,Lab2_Timing_1,/Y,,,,
37,Lab2_Timing_1,AfallTime,0,,,
37,Lab2_Timing_1,AriseTime,0,,,
37,Lab2_Timing_1,AY_cellFall,80.86e-12,,,
37,Lab2_Timing_1,AY_cellRise,32.42e-12,,,
37,Lab2_Timing_1,AY_fallTransistion,143.1e-12,,,
37,Lab2_Timing_1,AY_riseTransistion,57.17e-12,,,
37,Lab2_Timing_1,BfallTime,0,,,
37,Lab2_Timing_1,BriseTime,0,,,
37,Lab2_Timing_1,BY_cellFall,84.03e-12,,,
37,Lab2_Timing_1,BY_cellRise,33.66e-12,,,
37,Lab2_Timing_1,BY_fallTransistion,143.1e-12,,,
37,Lab2_Timing_1,BY_riseTransistion,57.17e-12,,,
"Parameters: Cout=2.822f, transition=60p",,,,,,
38,Lab2_Timing_1,/A,,,,
38,Lab2_Timing_1,/B,,,,
38,Lab2_Timing_1,/Y,,,,
38,Lab2_Timing_1,AfallTime,0,,,
38,Lab2_Timing_1,AriseTime,0,,,
38,Lab2_Timing_1,AY_cellFall,81.61e-12,,,
38,Lab2_Timing_1,AY_cellRise,33.43e-12,,,
38,Lab2_Timing_1,AY_fallTransistion,143.1e-12,,,
38,Lab2_Timing_1,AY_riseTransistion,57.42e-12,,,
38,Lab2_Timing_1,BfallTime,0,,,
38,Lab2_Timing_1,BriseTime,0,,,
38,Lab2_Timing_1,BY_cellFall,84.83e-12,,,
38,Lab2_Timing_1,BY_cellRise,34.67e-12,,,
38,Lab2_Timing_1,BY_fallTransistion,143.1e-12,,,
38,Lab2_Timing_1,BY_riseTransistion,57.42e-12,,,
"Parameters: Cout=2.822f, transition=80p",,,,,,
39,Lab2_Timing_1,/A,,,,
39,Lab2_Timing_1,/B,,,,
39,Lab2_Timing_1,/Y,,,,
39,Lab2_Timing_1,AfallTime,0,,,
39,Lab2_Timing_1,AriseTime,0,,,
39,Lab2_Timing_1,AY_cellFall,82.31e-12,,,
39,Lab2_Timing_1,AY_cellRise,34.37e-12,,,
39,Lab2_Timing_1,AY_fallTransistion,143e-12,,,
39,Lab2_Timing_1,AY_riseTransistion,57.65e-12,,,
39,Lab2_Timing_1,BfallTime,0,,,
39,Lab2_Timing_1,BriseTime,0,,,
39,Lab2_Timing_1,BY_cellFall,85.43e-12,,,
39,Lab2_Timing_1,BY_cellRise,35.72e-12,,,
39,Lab2_Timing_1,BY_fallTransistion,143e-12,,,
39,Lab2_Timing_1,BY_riseTransistion,57.65e-12,,,
"Parameters: Cout=2.822f, transition=100p",,,,,,
40,Lab2_Timing_1,/A,,,,
40,Lab2_Timing_1,/B,,,,
40,Lab2_Timing_1,/Y,,,,
40,Lab2_Timing_1,AfallTime,0,,,
40,Lab2_Timing_1,AriseTime,0,,,
40,Lab2_Timing_1,AY_cellFall,82.81e-12,,,
40,Lab2_Timing_1,AY_cellRise,35.24e-12,,,
40,Lab2_Timing_1,AY_fallTransistion,142.3e-12,,,
40,Lab2_Timing_1,AY_riseTransistion,57.17e-12,,,
40,Lab2_Timing_1,BfallTime,0,,,
40,Lab2_Timing_1,BriseTime,0,,,
40,Lab2_Timing_1,BY_cellFall,85.84e-12,,,
40,Lab2_Timing_1,BY_cellRise,36.6e-12,,,
40,Lab2_Timing_1,BY_fallTransistion,142.3e-12,,,
40,Lab2_Timing_1,BY_riseTransistion,57.17e-12,,,
"Parameters: Cout=2.822f, transition=120p",,,,,,
41,Lab2_Timing_1,/A,,,,
41,Lab2_Timing_1,/B,,,,
41,Lab2_Timing_1,/Y,,,,
41,Lab2_Timing_1,AfallTime,0,,,
41,Lab2_Timing_1,AriseTime,0,,,
41,Lab2_Timing_1,AY_cellFall,83.32e-12,,,
41,Lab2_Timing_1,AY_cellRise,36.32e-12,,,
41,Lab2_Timing_1,AY_fallTransistion,142.9e-12,,,
41,Lab2_Timing_1,AY_riseTransistion,57.56e-12,,,
41,Lab2_Timing_1,BfallTime,0,,,
41,Lab2_Timing_1,BriseTime,0,,,
41,Lab2_Timing_1,BY_cellFall,86.39e-12,,,
41,Lab2_Timing_1,BY_cellRise,37.68e-12,,,
41,Lab2_Timing_1,BY_fallTransistion,142.9e-12,,,
41,Lab2_Timing_1,BY_riseTransistion,57.56e-12,,,
"Parameters: Cout=2.822f, transition=140p",,,,,,
42,Lab2_Timing_1,/A,,,,
42,Lab2_Timing_1,/B,,,,
42,Lab2_Timing_1,/Y,,,,
42,Lab2_Timing_1,AfallTime,0,,,
42,Lab2_Timing_1,AriseTime,0,,,
42,Lab2_Timing_1,AY_cellFall,83.99e-12,,,
42,Lab2_Timing_1,AY_cellRise,37.17e-12,,,
42,Lab2_Timing_1,AY_fallTransistion,141.3e-12,,,
42,Lab2_Timing_1,AY_riseTransistion,57.96e-12,,,
42,Lab2_Timing_1,BfallTime,0,,,
42,Lab2_Timing_1,BriseTime,0,,,
42,Lab2_Timing_1,BY_cellFall,87.11e-12,,,
42,Lab2_Timing_1,BY_cellRise,38.45e-12,,,
42,Lab2_Timing_1,BY_fallTransistion,141.3e-12,,,
42,Lab2_Timing_1,BY_riseTransistion,57.96e-12,,,
"Parameters: Cout=3.367f, transition=20p",,,,,,
43,Lab2_Timing_1,/A,,,,
43,Lab2_Timing_1,/B,,,,
43,Lab2_Timing_1,/Y,,,,
43,Lab2_Timing_1,AfallTime,0,,,
43,Lab2_Timing_1,AriseTime,0,,,
43,Lab2_Timing_1,AY_cellFall,92.62e-12,,,
43,Lab2_Timing_1,AY_cellRise,36.55e-12,,,
43,Lab2_Timing_1,AY_fallTransistion,166.8e-12,,,
43,Lab2_Timing_1,AY_riseTransistion,66.92e-12,,,
43,Lab2_Timing_1,BfallTime,0,,,
43,Lab2_Timing_1,BriseTime,0,,,
43,Lab2_Timing_1,BY_cellFall,95.1e-12,,,
43,Lab2_Timing_1,BY_cellRise,37.7e-12,,,
43,Lab2_Timing_1,BY_fallTransistion,166.8e-12,,,
43,Lab2_Timing_1,BY_riseTransistion,66.92e-12,,,
"Parameters: Cout=3.367f, transition=40p",,,,,,
44,Lab2_Timing_1,/A,,,,
44,Lab2_Timing_1,/B,,,,
44,Lab2_Timing_1,/Y,,,,
44,Lab2_Timing_1,AfallTime,0,,,
44,Lab2_Timing_1,AriseTime,0,,,
44,Lab2_Timing_1,AY_cellFall,93.71e-12,,,
44,Lab2_Timing_1,AY_cellRise,37.17e-12,,,
44,Lab2_Timing_1,AY_fallTransistion,167.8e-12,,,
44,Lab2_Timing_1,AY_riseTransistion,66.93e-12,,,
44,Lab2_Timing_1,BfallTime,0,,,
44,Lab2_Timing_1,BriseTime,0,,,
44,Lab2_Timing_1,BY_cellFall,95.85e-12,,,
44,Lab2_Timing_1,BY_cellRise,38.3e-12,,,
44,Lab2_Timing_1,BY_fallTransistion,167.8e-12,,,
44,Lab2_Timing_1,BY_riseTransistion,66.93e-12,,,
"Parameters: Cout=3.367f, transition=60p",,,,,,
45,Lab2_Timing_1,/A,,,,
45,Lab2_Timing_1,/B,,,,
45,Lab2_Timing_1,/Y,,,,
45,Lab2_Timing_1,AfallTime,0,,,
45,Lab2_Timing_1,AriseTime,0,,,
45,Lab2_Timing_1,AY_cellFall,94.44e-12,,,
45,Lab2_Timing_1,AY_cellRise,38.18e-12,,,
45,Lab2_Timing_1,AY_fallTransistion,167.8e-12,,,
45,Lab2_Timing_1,AY_riseTransistion,66.51e-12,,,
45,Lab2_Timing_1,BfallTime,0,,,
45,Lab2_Timing_1,BriseTime,0,,,
45,Lab2_Timing_1,BY_cellFall,97.4e-12,,,
45,Lab2_Timing_1,BY_cellRise,39.34e-12,,,
45,Lab2_Timing_1,BY_fallTransistion,167.8e-12,,,
45,Lab2_Timing_1,BY_riseTransistion,66.51e-12,,,
"Parameters: Cout=3.367f, transition=80p",,,,,,
46,Lab2_Timing_1,/A,,,,
46,Lab2_Timing_1,/B,,,,
46,Lab2_Timing_1,/Y,,,,
46,Lab2_Timing_1,AfallTime,0,,,
46,Lab2_Timing_1,AriseTime,0,,,
46,Lab2_Timing_1,AY_cellFall,94.57e-12,,,
46,Lab2_Timing_1,AY_cellRise,39.07e-12,,,
46,Lab2_Timing_1,AY_fallTransistion,165.7e-12,,,
46,Lab2_Timing_1,AY_riseTransistion,66.33e-12,,,
46,Lab2_Timing_1,BfallTime,0,,,
46,Lab2_Timing_1,BriseTime,0,,,
46,Lab2_Timing_1,BY_cellFall,97.66e-12,,,
46,Lab2_Timing_1,BY_cellRise,40.25e-12,,,
46,Lab2_Timing_1,BY_fallTransistion,165.7e-12,,,
46,Lab2_Timing_1,BY_riseTransistion,66.33e-12,,,
"Parameters: Cout=3.367f, transition=100p",,,,,,
47,Lab2_Timing_1,/A,,,,
47,Lab2_Timing_1,/B,,,,
47,Lab2_Timing_1,/Y,,,,
47,Lab2_Timing_1,AfallTime,0,,,
47,Lab2_Timing_1,AriseTime,0,,,
47,Lab2_Timing_1,AY_cellFall,94.98e-12,,,
47,Lab2_Timing_1,AY_cellRise,40.1e-12,,,
47,Lab2_Timing_1,AY_fallTransistion,166.2e-12,,,
47,Lab2_Timing_1,AY_riseTransistion,66.38e-12,,,
47,Lab2_Timing_1,BfallTime,0,,,
47,Lab2_Timing_1,BriseTime,0,,,
47,Lab2_Timing_1,BY_cellFall,98.15e-12,,,
47,Lab2_Timing_1,BY_cellRise,41.26e-12,,,
47,Lab2_Timing_1,BY_fallTransistion,166.2e-12,,,
47,Lab2_Timing_1,BY_riseTransistion,66.38e-12,,,
"Parameters: Cout=3.367f, transition=120p",,,,,,
48,Lab2_Timing_1,/A,,,,
48,Lab2_Timing_1,/B,,,,
48,Lab2_Timing_1,/Y,,,,
48,Lab2_Timing_1,AfallTime,0,,,
48,Lab2_Timing_1,AriseTime,0,,,
48,Lab2_Timing_1,AY_cellFall,96.19e-12,,,
48,Lab2_Timing_1,AY_cellRise,41.08e-12,,,
48,Lab2_Timing_1,AY_fallTransistion,167e-12,,,
48,Lab2_Timing_1,AY_riseTransistion,67.08e-12,,,
48,Lab2_Timing_1,BfallTime,0,,,
48,Lab2_Timing_1,BriseTime,0,,,
48,Lab2_Timing_1,BY_cellFall,99.28e-12,,,
48,Lab2_Timing_1,BY_cellRise,42.22e-12,,,
48,Lab2_Timing_1,BY_fallTransistion,167e-12,,,
48,Lab2_Timing_1,BY_riseTransistion,67.08e-12,,,
"Parameters: Cout=3.367f, transition=140p",,,,,,
49,Lab2_Timing_1,/A,,,,
49,Lab2_Timing_1,/B,,,,
49,Lab2_Timing_1,/Y,,,,
49,Lab2_Timing_1,AfallTime,0,,,
49,Lab2_Timing_1,AriseTime,0,,,
49,Lab2_Timing_1,AY_cellFall,96.34e-12,,,
49,Lab2_Timing_1,AY_cellRise,41.81e-12,,,
49,Lab2_Timing_1,AY_fallTransistion,166.7e-12,,,
49,Lab2_Timing_1,AY_riseTransistion,67.38e-12,,,
49,Lab2_Timing_1,BfallTime,0,,,
49,Lab2_Timing_1,BriseTime,0,,,
49,Lab2_Timing_1,BY_cellFall,99.44e-12,,,
49,Lab2_Timing_1,BY_cellRise,43.2e-12,,,
49,Lab2_Timing_1,BY_fallTransistion,166.7e-12,,,
49,Lab2_Timing_1,BY_riseTransistion,67.38e-12,,,
"Parameters: Cout=3.911f, transition=20p",,,,,,
50,Lab2_Timing_1,/A,,,,
50,Lab2_Timing_1,/B,,,,
50,Lab2_Timing_1,/Y,,,,
50,Lab2_Timing_1,AfallTime,0,,,
50,Lab2_Timing_1,AriseTime,0,,,
50,Lab2_Timing_1,AY_cellFall,105.7e-12,,,
50,Lab2_Timing_1,AY_cellRise,40.95e-12,,,
50,Lab2_Timing_1,AY_fallTransistion,192e-12,,,
50,Lab2_Timing_1,AY_riseTransistion,75.6e-12,,,
50,Lab2_Timing_1,BfallTime,0,,,
50,Lab2_Timing_1,BriseTime,0,,,
50,Lab2_Timing_1,BY_cellFall,107.5e-12,,,
50,Lab2_Timing_1,BY_cellRise,42.31e-12,,,
50,Lab2_Timing_1,BY_fallTransistion,192e-12,,,
50,Lab2_Timing_1,BY_riseTransistion,75.6e-12,,,
"Parameters: Cout=3.911f, transition=40p",,,,,,
51,Lab2_Timing_1,/A,,,,
51,Lab2_Timing_1,/B,,,,
51,Lab2_Timing_1,/Y,,,,
51,Lab2_Timing_1,AfallTime,0,,,
51,Lab2_Timing_1,AriseTime,0,,,
51,Lab2_Timing_1,AY_cellFall,105.9e-12,,,
51,Lab2_Timing_1,AY_cellRise,41.83e-12,,,
51,Lab2_Timing_1,AY_fallTransistion,191e-12,,,
51,Lab2_Timing_1,AY_riseTransistion,76.42e-12,,,
51,Lab2_Timing_1,BfallTime,0,,,
51,Lab2_Timing_1,BriseTime,0,,,
51,Lab2_Timing_1,BY_cellFall,108.9e-12,,,
51,Lab2_Timing_1,BY_cellRise,42.95e-12,,,
51,Lab2_Timing_1,BY_fallTransistion,191e-12,,,
51,Lab2_Timing_1,BY_riseTransistion,76.42e-12,,,
"Parameters: Cout=3.911f, transition=60p",,,,,,
52,Lab2_Timing_1,/A,,,,
52,Lab2_Timing_1,/B,,,,
52,Lab2_Timing_1,/Y,,,,
52,Lab2_Timing_1,AfallTime,0,,,
52,Lab2_Timing_1,AriseTime,0,,,
52,Lab2_Timing_1,AY_cellFall,106.6e-12,,,
52,Lab2_Timing_1,AY_cellRise,42.9e-12,,,
52,Lab2_Timing_1,AY_fallTransistion,190.9e-12,,,
52,Lab2_Timing_1,AY_riseTransistion,76.15e-12,,,
52,Lab2_Timing_1,BfallTime,0,,,
52,Lab2_Timing_1,BriseTime,0,,,
52,Lab2_Timing_1,BY_cellFall,109.5e-12,,,
52,Lab2_Timing_1,BY_cellRise,44.03e-12,,,
52,Lab2_Timing_1,BY_fallTransistion,190.9e-12,,,
52,Lab2_Timing_1,BY_riseTransistion,76.15e-12,,,
"Parameters: Cout=3.911f, transition=80p",,,,,,
53,Lab2_Timing_1,/A,,,,
53,Lab2_Timing_1,/B,,,,
53,Lab2_Timing_1,/Y,,,,
53,Lab2_Timing_1,AfallTime,0,,,
53,Lab2_Timing_1,AriseTime,0,,,
53,Lab2_Timing_1,AY_cellFall,106.7e-12,,,
53,Lab2_Timing_1,AY_cellRise,43.87e-12,,,
53,Lab2_Timing_1,AY_fallTransistion,190.3e-12,,,
53,Lab2_Timing_1,AY_riseTransistion,75.97e-12,,,
53,Lab2_Timing_1,BfallTime,0,,,
53,Lab2_Timing_1,BriseTime,0,,,
53,Lab2_Timing_1,BY_cellFall,110.2e-12,,,
53,Lab2_Timing_1,BY_cellRise,44.92e-12,,,
53,Lab2_Timing_1,BY_fallTransistion,190.3e-12,,,
53,Lab2_Timing_1,BY_riseTransistion,75.97e-12,,,
"Parameters: Cout=3.911f, transition=100p",,,,,,
54,Lab2_Timing_1,/A,,,,
54,Lab2_Timing_1,/B,,,,
54,Lab2_Timing_1,/Y,,,,
54,Lab2_Timing_1,AfallTime,0,,,
54,Lab2_Timing_1,AriseTime,0,,,
54,Lab2_Timing_1,AY_cellFall,108e-12,,,
54,Lab2_Timing_1,AY_cellRise,44.59e-12,,,
54,Lab2_Timing_1,AY_fallTransistion,191.5e-12,,,
54,Lab2_Timing_1,AY_riseTransistion,76.14e-12,,,
54,Lab2_Timing_1,BfallTime,0,,,
54,Lab2_Timing_1,BriseTime,0,,,
54,Lab2_Timing_1,BY_cellFall,111.4e-12,,,
54,Lab2_Timing_1,BY_cellRise,46.01e-12,,,
54,Lab2_Timing_1,BY_fallTransistion,191.5e-12,,,
54,Lab2_Timing_1,BY_riseTransistion,76.14e-12,,,
"Parameters: Cout=3.911f, transition=120p",,,,,,
55,Lab2_Timing_1,/A,,,,
55,Lab2_Timing_1,/B,,,,
55,Lab2_Timing_1,/Y,,,,
55,Lab2_Timing_1,AfallTime,0,,,
55,Lab2_Timing_1,AriseTime,0,,,
55,Lab2_Timing_1,AY_cellFall,108.5e-12,,,
55,Lab2_Timing_1,AY_cellRise,45.72e-12,,,
55,Lab2_Timing_1,AY_fallTransistion,189.2e-12,,,
55,Lab2_Timing_1,AY_riseTransistion,76.43e-12,,,
55,Lab2_Timing_1,BfallTime,0,,,
55,Lab2_Timing_1,BriseTime,0,,,
55,Lab2_Timing_1,BY_cellFall,111.5e-12,,,
55,Lab2_Timing_1,BY_cellRise,46.77e-12,,,
55,Lab2_Timing_1,BY_fallTransistion,189.2e-12,,,
55,Lab2_Timing_1,BY_riseTransistion,76.43e-12,,,
"Parameters: Cout=3.911f, transition=140p",,,,,,
56,Lab2_Timing_1,/A,,,,
56,Lab2_Timing_1,/B,,,,
56,Lab2_Timing_1,/Y,,,,
56,Lab2_Timing_1,AfallTime,0,,,
56,Lab2_Timing_1,AriseTime,0,,,
56,Lab2_Timing_1,AY_cellFall,109.2e-12,,,
56,Lab2_Timing_1,AY_cellRise,46.49e-12,,,
56,Lab2_Timing_1,AY_fallTransistion,191.4e-12,,,
56,Lab2_Timing_1,AY_riseTransistion,76.84e-12,,,
56,Lab2_Timing_1,BfallTime,0,,,
56,Lab2_Timing_1,BriseTime,0,,,
56,Lab2_Timing_1,BY_cellFall,112.2e-12,,,
56,Lab2_Timing_1,BY_cellRise,47.79e-12,,,
56,Lab2_Timing_1,BY_fallTransistion,191.4e-12,,,
56,Lab2_Timing_1,BY_riseTransistion,76.84e-12,,,
"Parameters: Cout=4.456f, transition=20p",,,,,,
57,Lab2_Timing_1,/A,,,,
57,Lab2_Timing_1,/B,,,,
57,Lab2_Timing_1,/Y,,,,
57,Lab2_Timing_1,AfallTime,0,,,
57,Lab2_Timing_1,AriseTime,0,,,
57,Lab2_Timing_1,AY_cellFall,117.1e-12,,,
57,Lab2_Timing_1,AY_cellRise,45.58e-12,,,
57,Lab2_Timing_1,AY_fallTransistion,212.3e-12,,,
57,Lab2_Timing_1,AY_riseTransistion,85.79e-12,,,
57,Lab2_Timing_1,BfallTime,0,,,
57,Lab2_Timing_1,BriseTime,0,,,
57,Lab2_Timing_1,BY_cellFall,119.9e-12,,,
57,Lab2_Timing_1,BY_cellRise,47e-12,,,
57,Lab2_Timing_1,BY_fallTransistion,212.3e-12,,,
57,Lab2_Timing_1,BY_riseTransistion,85.79e-12,,,
"Parameters: Cout=4.456f, transition=40p",,,,,,
58,Lab2_Timing_1,/A,,,,
58,Lab2_Timing_1,/B,,,,
58,Lab2_Timing_1,/Y,,,,
58,Lab2_Timing_1,AfallTime,0,,,
58,Lab2_Timing_1,AriseTime,0,,,
58,Lab2_Timing_1,AY_cellFall,117.9e-12,,,
58,Lab2_Timing_1,AY_cellRise,46.41e-12,,,
58,Lab2_Timing_1,AY_fallTransistion,212.7e-12,,,
58,Lab2_Timing_1,AY_riseTransistion,85.81e-12,,,
58,Lab2_Timing_1,BfallTime,0,,,
58,Lab2_Timing_1,BriseTime,0,,,
58,Lab2_Timing_1,BY_cellFall,121.6e-12,,,
58,Lab2_Timing_1,BY_cellRise,47.62e-12,,,
58,Lab2_Timing_1,BY_fallTransistion,212.7e-12,,,
58,Lab2_Timing_1,BY_riseTransistion,85.81e-12,,,
"Parameters: Cout=4.456f, transition=60p",,,,,,
59,Lab2_Timing_1,/A,,,,
59,Lab2_Timing_1,/B,,,,
59,Lab2_Timing_1,/Y,,,,
59,Lab2_Timing_1,AfallTime,0,,,
59,Lab2_Timing_1,AriseTime,0,,,
59,Lab2_Timing_1,AY_cellFall,118.7e-12,,,
59,Lab2_Timing_1,AY_cellRise,47.69e-12,,,
59,Lab2_Timing_1,AY_fallTransistion,212.7e-12,,,
59,Lab2_Timing_1,AY_riseTransistion,85.52e-12,,,
59,Lab2_Timing_1,BfallTime,0,,,
59,Lab2_Timing_1,BriseTime,0,,,
59,Lab2_Timing_1,BY_cellFall,121.8e-12,,,
59,Lab2_Timing_1,BY_cellRise,48.74e-12,,,
59,Lab2_Timing_1,BY_fallTransistion,212.7e-12,,,
59,Lab2_Timing_1,BY_riseTransistion,85.52e-12,,,
"Parameters: Cout=4.456f, transition=80p",,,,,,
60,Lab2_Timing_1,/A,,,,
60,Lab2_Timing_1,/B,,,,
60,Lab2_Timing_1,/Y,,,,
60,Lab2_Timing_1,AfallTime,0,,,
60,Lab2_Timing_1,AriseTime,0,,,
60,Lab2_Timing_1,AY_cellFall,119.8e-12,,,
60,Lab2_Timing_1,AY_cellRise,48.53e-12,,,
60,Lab2_Timing_1,AY_fallTransistion,215.6e-12,,,
60,Lab2_Timing_1,AY_riseTransistion,85.46e-12,,,
60,Lab2_Timing_1,BfallTime,0,,,
60,Lab2_Timing_1,BriseTime,0,,,
60,Lab2_Timing_1,BY_cellFall,123.3e-12,,,
60,Lab2_Timing_1,BY_cellRise,49.61e-12,,,
60,Lab2_Timing_1,BY_fallTransistion,215.6e-12,,,
60,Lab2_Timing_1,BY_riseTransistion,85.46e-12,,,
"Parameters: Cout=4.456f, transition=100p",,,,,,
61,Lab2_Timing_1,/A,,,,
61,Lab2_Timing_1,/B,,,,
61,Lab2_Timing_1,/Y,,,,
61,Lab2_Timing_1,AfallTime,0,,,
61,Lab2_Timing_1,AriseTime,0,,,
61,Lab2_Timing_1,AY_cellFall,120.8e-12,,,
61,Lab2_Timing_1,AY_cellRise,49.42e-12,,,
61,Lab2_Timing_1,AY_fallTransistion,216.1e-12,,,
61,Lab2_Timing_1,AY_riseTransistion,85.31e-12,,,
61,Lab2_Timing_1,BfallTime,0,,,
61,Lab2_Timing_1,BriseTime,0,,,
61,Lab2_Timing_1,BY_cellFall,123.9e-12,,,
61,Lab2_Timing_1,BY_cellRise,50.5e-12,,,
61,Lab2_Timing_1,BY_fallTransistion,216.1e-12,,,
61,Lab2_Timing_1,BY_riseTransistion,85.31e-12,,,
"Parameters: Cout=4.456f, transition=120p",,,,,,
62,Lab2_Timing_1,/A,,,,
62,Lab2_Timing_1,/B,,,,
62,Lab2_Timing_1,/Y,,,,
62,Lab2_Timing_1,AfallTime,0,,,
62,Lab2_Timing_1,AriseTime,0,,,
62,Lab2_Timing_1,AY_cellFall,120.6e-12,,,
62,Lab2_Timing_1,AY_cellRise,50.39e-12,,,
62,Lab2_Timing_1,AY_fallTransistion,214.4e-12,,,
62,Lab2_Timing_1,AY_riseTransistion,86.16e-12,,,
62,Lab2_Timing_1,BfallTime,0,,,
62,Lab2_Timing_1,BriseTime,0,,,
62,Lab2_Timing_1,BY_cellFall,123.8e-12,,,
62,Lab2_Timing_1,BY_cellRise,51.42e-12,,,
62,Lab2_Timing_1,BY_fallTransistion,214.4e-12,,,
62,Lab2_Timing_1,BY_riseTransistion,86.16e-12,,,
"Parameters: Cout=4.456f, transition=140p",,,,,,
63,Lab2_Timing_1,/A,,,,
63,Lab2_Timing_1,/B,,,,
63,Lab2_Timing_1,/Y,,,,
63,Lab2_Timing_1,AfallTime,0,,,
63,Lab2_Timing_1,AriseTime,0,,,
63,Lab2_Timing_1,AY_cellFall,121.7e-12,,,
63,Lab2_Timing_1,AY_cellRise,51.03e-12,,,
63,Lab2_Timing_1,AY_fallTransistion,214.7e-12,,,
63,Lab2_Timing_1,AY_riseTransistion,85.48e-12,,,
